eventid,angle,carid,driverid,height,lat,lon,lurch,maxvectoracc,midvectoracc,origid,speed,tanage,xacc,yacc,zacc,eventdt,entrydt,iscan
10832301,193,10005,10005,10,5956.3101,3022.1822,94,0.280000001192093,0.109999999403954,4689127,27.38,-2,0.129999995231628,-0.209999993443489,0.140000000596046,2016-10-09 08:17:53+03,2016-10-24 14:57:39.867+03,True
10832302,204,10005,10005,9,5956.3056,3022.1783,79,0.239999994635582,0.0700000002980232,4689128,25.53,0,0.0700000002980232,-0.219999998807907,0.0299999993294477,2016-10-09 08:17:54+03,2016-10-24 14:57:39.867+03,True
10832303,210,10005,10005,8,5956.3023,3022.1743,81,0.270000010728836,0.0500000007450581,4689129,24.235,1,0.00999999977648258,-0.239999994635582,-0.119999997317791,2016-10-09 08:17:55+03,2016-10-24 14:57:39.867+03,True
10832304,224,10005,10005,6,5956.2994,3022.1676,84,0.129999995231628,0.0500000007450581,4689130,22.015,3,0,0.119999997317791,-0.0500000007450581,2016-10-09 08:17:56+03,2016-10-24 14:57:39.867+03,True
10832305,244,10005,10005,4,5956.297,3022.1606,92,0.0900000035762787,0.0500000007450581,4689131,19.98,6,-0.0199999995529652,-0.0700000002980232,-0.0500000007450581,2016-10-09 08:17:57+03,2016-10-24 14:57:39.867+03,True
10832306,267,10005,10005,2,5956.2961,3022.1522,98,0.119999997317791,0.0500000007450581,4689132,24.605,6,0.00999999977648258,-0.119999997317791,-0.0199999995529652,2016-10-09 08:17:58+03,2016-10-24 14:57:39.867+03,True
10832307,273,10005,10005,1,5956.2961,3022.1441,100,0.119999997317791,0.0599999986588955,4689133,26.085,5,0,0.0599999986588955,0.100000001490116,2016-10-09 08:17:59+03,2016-10-24 14:57:39.867+03,True
10832308,283,10005,10005,0,5956.2969,3022.133,100,0.119999997317791,0.0500000007450581,4689134,37.555,3,0.0199999995529652,-0.109999999403954,0.0199999995529652,2016-10-09 08:17:59+03,2016-10-24 14:57:39.867+03,True
10832309,283,10005,10005,-2,5956.3041,3022.0676,106,0.170000001788139,0.0700000002980232,4689135,54.39,2,0.00999999977648258,0.170000001788139,0.00999999977648258,2016-10-09 08:18:05+03,2016-10-24 14:57:39.867+03,True
10832310,281,10005,10005,-3,5956.3074,3022.0298,105,0.140000000596046,0.0500000007450581,4689136,62.9,-1,0,-0.119999997317791,-0.0700000002980232,2016-10-09 08:18:07+03,2016-10-24 14:57:39.867+03,True
10832311,280,10005,10005,-3,5956.309,3022.0124,100,0.159999996423721,0.0599999986588955,4689137,59.015,-1,0.00999999977648258,0.109999999403954,0.109999999403954,2016-10-09 08:18:08+03,2016-10-24 14:57:39.867+03,True
10832312,280,10005,10005,-5,5956.3112,3021.9688,95,0.150000005960464,0.0700000002980232,4689138,42.735,-1,-0.0599999986588955,0.129999995231628,-0.00999999977648258,2016-10-09 08:18:10+03,2016-10-24 14:57:39.867+03,True
